State,Date,raw_positives,7-day_avg,new_confirmed_cases_average,new_confirmed_cases_value,new_confirmed_cases_cumulative,new_deaths_average,new_deaths_value,new_deaths_cumulative,doses_admin_daily,7_day_avg,inpatient_beds_used_covid
AK,2021-02-15,,,,,,,,,,,
AK,2021-02-16,,,,,,,,,,,
AK,2021-02-17,,,,,,,,,,,
AK,2021-02-18,,,,,,,,,,,
AK,2021-02-19,,,,,,,,,,,
AK,2021-02-20,,,,,,,,,,,
AK,2021-02-21,,,,,,,,,,,
AK,2021-02-22,,,,,,,,,,,
AK,2021-02-23,,,,,,,,,,,
AK,2021-02-24,,,,,,,,,,,
AK,2021-02-25,,,,,,,,,,,
AK,2021-02-26,,,,,,,,,,,
AK,2021-02-27,,,,,,,,,,,
AK,2021-02-28,,,,,,,,,,,
AK,2021-03-01,,,,,,,,,,,
AK,2021-03-02,,,,,,,,,,,
AK,2021-03-03,,,,,,,,,,,
AK,2021-03-04,,,,,,,,,,,
AK,2021-03-05,,,,,,,,,,,
AK,2021-03-06,,,,,,,,,,,
AK,2021-03-07,,,,,,,,,,,
AK,2021-03-08,,,,,,,,,,,
AK,2021-03-09,,,,,,,,,,,
AK,2021-03-10,,,,,,,,,,,
AK,2021-03-11,,,,,,,,,,,
AK,2021-03-12,,,,,,,,,,,
AK,2021-03-13,,,,,,,,,,,
AK,2021-03-14,,,,,,,,,,,
AK,2021-03-15,,,,,,,,,,,
AK,2021-03-16,,,,,,,,,,,
AK,2021-03-17,,,,,,,,,,,
AK,2021-03-18,,,,,,,,,,,
AK,2021-03-19,,,,,,,,,,,
AK,2021-03-20,,,,,,,,,,,
AK,2021-03-21,,,,,,,,,,,
AK,2021-03-22,,,,,,,,,,,
AK,2021-03-23,,,,,,,,,,,
AK,2021-03-24,,,,,,,,,,,
AK,2021-03-25,,,,,,,,,,,
AK,2021-03-26,,,,,,,,,,,
AK,2021-03-27,,,,,,,,,,,
AK,2021-03-28,,,,,,,,,,,
AK,2021-03-29,,,,,,,,,,,
AK,2021-03-30,,,,,,,,,,,
AK,2021-03-31,,,,,,,,,,,
AK,2021-04-01,,,,,,,,,,,
AK,2021-04-02,,,,,,,,,,,
AK,2021-04-03,,,,,,,,,,,
AK,2021-04-04,,,,,,,,,,,
AK,2021-04-05,,,,,,,,,,,
AK,2021-04-06,,,,,,,,,,,
AK,2021-04-07,,,,,,,,,,,
AK,2021-04-08,,,,,,,,,,,
AK,2021-04-09,,,,,,,,,,,
AK,2021-04-10,,,,,,,,,,,
AK,2021-04-11,,,,,,,,,,,
AK,2021-04-12,,,,,,,,,,,
AK,2021-04-13,,,,,,,,,,,
AK,2021-04-14,,,,,,,,,,,
AK,2021-04-15,,,,,,,,,,,
AK,2021-04-16,,,,,,,,,,,
AK,2021-04-17,,,,,,,,,,,
AK,2021-04-18,,,,,,,,,,,
AK,2021-04-19,,,,,,,,,,,
AK,2021-04-20,,,,,,,,,,,
AK,2021-04-21,,,,,,,,,,,
AK,2021-04-22,,,,,,,,,,,
AK,2021-04-23,,,,,,,,,,,
AK,2021-04-24,,,,,,,,,,,
AK,2021-04-25,,,,,,,,,,,
AK,2021-04-26,,,,,,,,,,,
AK,2021-04-27,,,,,,,,,,,
AK,2021-04-28,,,,,,,,,,,
AK,2021-04-29,,,,,,,,,,,
AK,2021-04-30,,,,,,,,,,,
AK,2021-05-01,,,,,,,,,,,
AK,2021-05-02,,,,,,,,,,,
AK,2021-05-03,,,,,,,,,,,
AK,2021-05-04,,,,,,,,,,,
AK,2021-05-05,,,,,,,,,,,
AK,2021-05-06,,,,,,,,,,,
AK,2021-05-07,,,,,,,,,,,
AK,2021-05-08,,,,,,,,,,,
AK,2021-05-09,,,,,,,,,,,
AK,2021-05-10,,,,,,,,,,,
AK,2021-05-11,,,,,,,,,,,
AK,2021-05-12,,,,,,,,,,,
AK,2021-05-13,,,,,,,,,,,
AK,2021-05-14,,,,,,,,,,,
AK,2021-05-15,,,,,,,,,,,
AK,2021-05-16,,,,,,,,,,,
AK,2021-05-17,,,,,,,,,,,
AK,2021-05-18,,,,,,,,,,,
AK,2021-05-19,,,,,,,,,,,
AK,2021-05-20,,,,,,,,,,,
AK,2021-05-21,,,,,,,,,,,
AK,2021-05-22,,,,,,,,,,,
AK,2021-05-23,,,,,,,,,,,
AK,2021-05-24,,,,,,,,,,,
AL,2020-01-22,,,,,,,,,,,
AL,2020-01-23,,,,,,,,,,,
AL,2020-01-24,,,,,,,,,,,
AL,2020-01-25,,,,,,,,,,,
AL,2020-01-26,,,,,,,,,,,
AL,2020-01-27,,,,,,,,,,,
AL,2020-01-28,,,,,,,,,,,
AL,2020-01-29,,,,,,,,,,,
AL,2020-01-30,,,,,,,,,,,
AL,2020-01-31,,,,,,,,,,,
AL,2020-02-01,,,,,,,,,,,
AL,2020-02-02,,,,,,,,,,,
AL,2020-02-03,,,,,,,,,,,
AL,2020-02-04,,,,,,,,,,,
AL,2020-02-05,,,,,,,,,,,
AL,2020-02-06,,,,,,,,,,,
AL,2020-02-07,,,,,,,,,,,
AL,2020-02-08,,,,,,,,,,,
AL,2020-02-09,,,,,,,,,,,
AL,2020-02-10,,,,,,,,,,,
AL,2020-02-11,,,,,,,,,,,
AL,2020-02-12,,,,,,,,,,,
AL,2020-02-13,,,,,,,,,,,
AL,2020-02-14,,,,,,,,,,,
AL,2020-02-15,,,,,,,,,,,
AL,2020-02-16,,,,,,,,,,,
AL,2020-02-17,,,,,,,,,,,
AL,2020-02-18,,,,,,,,,,,
AL,2020-02-19,,,,,,,,,,,
AL,2020-02-20,,,,,,,,,,,
AL,2020-02-21,,,,,,,,,,,
AL,2020-02-22,,,,,,,,,,,
AL,2020-02-23,,,,,,,,,,,
AL,2020-02-24,,,,,,,,,,,
AL,2020-02-25,,,,,,,,,,,
AL,2020-02-26,,,,,,,,,,,
AL,2020-02-27,,,,,,,,,,,
AL,2020-02-28,,,,,,,,,,,
AL,2020-02-29,,,,,,,,,,,
AL,2020-03-01,,,,,,,,,,,
AL,2020-03-02,,,,,,,,,,,
AL,2020-03-03,,,,,,,,,,,
AL,2020-03-04,,,,,,,,,,,
AL,2020-03-05,,,,,,,,,,,
AL,2020-03-06,,,,,,,,,,,
AL,2020-03-07,,,,,,,,,,,
AL,2020-03-08,,,,,,,,,,,
AL,2020-03-09,,,,,,,,,,,
AL,2020-03-10,,,,,,,,,,,
AL,2020-03-11,,,,,,,,,,,
AL,2020-03-12,,,,,,,,,,,
AL,2020-03-13,,,,,,,,,,,
AL,2020-03-14,,,,,,,,,,,
AL,2020-03-15,,,,,,,,,,,
AL,2020-03-16,,,,,,,,,,,
AL,2020-03-17,,,,,,,,,,,
AL,2020-03-18,,,,,,,,,,,
AL,2020-03-19,,,,,,,,,,,
AL,2020-03-20,,,,,,,,,,,
AL,2020-03-21,,,,,,,,,,,
AL,2020-03-22,,,,,,,,,,,
AL,2020-03-23,,,,,,,,,,,
AL,2020-03-24,,,,,,,,,,,
AL,2020-03-25,,,,,,,,,,,
AL,2020-03-26,,,,,,,,,,,
AL,2020-03-27,,,,,,,,,,,
AL,2020-03-28,,,,,,,,,,,
AL,2020-03-29,,,,,,,,,,,
AL,2020-03-30,,,,,,,,,,,
AL,2020-03-31,,,,,,,,,,,
AL,2020-04-01,,,,,,,,,,,
AL,2020-04-02,,,,,,,,,,,
AL,2020-04-03,,,,,,,,,,,
AL,2020-04-04,,,,,,,,,,,
AL,2020-04-05,,,,,,,,,,,
AL,2020-04-06,,,,,,,,,,,
AL,2020-04-07,,,,,,,,,,,
AL,2020-04-08,,,,,,,,,,,
AL,2020-04-09,,,,,,,,,,,
AL,2020-04-10,,,,,,,,,,,
AL,2020-04-11,,,,,,,,,,,
AL,2020-04-12,,,,,,,,,,,
AL,2020-04-13,,,,,,,,,,,
AL,2020-04-14,,,,,,,,,,,
AL,2020-04-15,,,,,,,,,,,
AL,2020-04-16,,,,,,,,,,,
AL,2020-04-17,,,,,,,,,,,
AL,2020-04-18,,,,,,,,,,,
AL,2020-04-19,,,,,,,,,,,
AL,2020-04-20,,,,,,,,,,,
AL,2020-04-21,,,,,,,,,,,
AL,2020-04-22,,,,,,,,,,,
AL,2020-04-23,,,,,,,,,,,
AL,2020-04-24,,,,,,,,,,,
AL,2020-04-25,,,,,,,,,,,
AL,2020-04-26,,,,,,,,,,,
AL,2020-04-27,,,,,,,,,,,
AL,2020-04-28,,,,,,,,,,,
AL,2020-04-29,,,,,,,,,,,
AL,2020-04-30,,,,,,,,,,,
AL,2020-05-01,,,,,,,,,,,
AL,2020-05-02,,,,,,,,,,,
AL,2020-05-03,,,,,,,,,,,
AL,2020-05-04,,,,,,,,,,,
AL,2020-05-05,,,,,,,,,,,
AL,2020-05-06,,,,,,,,,,,
AL,2020-05-07,,,,,,,,,,,
AL,2020-05-08,,,,,,,,,,,
AL,2020-05-09,,,,,,,,,,,
AL,2020-05-10,,,,,,,,,,,
AL,2020-05-11,,,,,,,,,,,
AL,2020-05-12,,,,,,,,,,,
AL,2020-05-13,,,,,,,,,,,
AL,2020-05-14,,,,,,,,,,,
AL,2020-05-15,,,,,,,,,,,
AL,2020-05-16,,,,,,,,,,,
AL,2020-05-17,,,,,,,,,,,
AL,2020-05-18,,,,,,,,,,,
AL,2020-05-19,,,,,,,,,,,
AL,2020-05-20,,,,,,,,,,,
AL,2020-05-21,,,,,,,,,,,
AL,2020-05-22,,,,,,,,,,,
AL,2020-05-23,,,,,,,,,,,
AL,2020-05-24,,,,,,,,,,,
AL,2020-05-25,,,,,,,,,,,
AL,2020-05-26,,,,,,,,,,,
AL,2020-05-27,,,,,,,,,,,
AL,2020-05-28,,,,,,,,,,,
AL,2020-05-29,,,,,,,,,,,
AL,2020-05-30,,,,,,,,,,,
AL,2020-05-31,,,,,,,,,,,
AL,2020-06-01,,,,,,,,,,,
AL,2020-06-02,,,,,,,,,,,
AL,2020-06-03,,,,,,,,,,,
AL,2020-06-04,,,,,,,,,,,
AL,2020-06-05,,,,,,,,,,,
AL,2020-06-06,,,,,,,,,,,
AL,2020-06-07,,,,,,,,,,,
AL,2020-06-08,,,,,,,,,,,
AL,2020-06-09,,,,,,,,,,,
AL,2020-06-10,,,,,,,,,,,
AL,2020-06-11,,,,,,,,,,,
AL,2020-06-12,,,,,,,,,,,
AL,2020-06-13,,,,,,,,,,,
AL,2020-06-14,,,,,,,,,,,
AL,2020-06-15,,,,,,,,,,,
AL,2020-06-16,,,,,,,,,,,
AL,2020-06-17,,,,,,,,,,,
AL,2020-06-18,,,,,,,,,,,
AL,2020-06-19,,,,,,,,,,,
AL,2020-06-20,,,,,,,,,,,
AL,2020-06-21,,,,,,,,,,,
AL,2020-06-22,,,,,,,,,,,
AL,2020-06-23,,,,,,,,,,,
AL,2020-06-24,,,,,,,,,,,
AL,2020-06-25,,,,,,,,,,,
AL,2020-06-26,,,,,,,,,,,
AL,2020-06-27,,,,,,,,,,,
AL,2020-06-28,,,,,,,,,,,
AL,2020-06-29,,,,,,,,,,,
AL,2020-06-30,,,,,,,,,,,
